Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
197,Banaskanth,,Jowar(Sorghum),4300,4580,4440,30-05-2024
198,Banaskanth,,Jowar(Sorghum),4300,5385,4842.5,06-07-2024
199,Banaskanth,,Jowar(Sorghum),4400,5200,4800,13-03-2024
200,Banaskanth,,Jowar(Sorghum),4455,5260,4857.5,06-02-2024
201,Banaskanth,,Jowar(Sorghum),4500,4770,4635,20-02-2024
202,Banaskanth,,Jowar(Sorghum),4500,4925,4712.5,26-02-2024
203,Banaskanth,,Jowar(Sorghum),4650,5200,4925,12-02-2024
204,Banaskanth,,Jowar(Sorghum),4705,4725,4715,22-03-2024
205,Banaskanth,,Jowar(Sorghum),4750,4880,4815,23-02-2024
206,Banaskanth,,Jowar(Sorghum),4750,5505,5127.5,17-02-2024
207,Banaskanth,,Jowar(Sorghum),4900,5750,5325,15-03-2024
208,Banaskanth,,Jowar(Sorghum),4900,6200,5550,13-02-2024
209,Banaskanth,,Jowar(Sorghum),4905,4905,4905,04-03-2024
210,Banaskanth,,Jowar(Sorghum),4940,5410,5175,30-01-2024
211,Banaskanth,,Jowar(Sorghum),5000,5125,5062.5,02-01-2024
212,Banaskanth,,Jowar(Sorghum),5000,5440,5220,19-02-2024
213,Banaskanth,,Jowar(Sorghum),5075,5305,5190,16-01-2024
214,Banaskanth,,Jowar(Sorghum),5100,5125,5112.5,05-02-2024
215,Banaskanth,,Jowar(Sorghum),5130,5150,5140,16-03-2024
216,Banaskanth,,Jowar(Sorghum),5250,6255,5752.5,06-03-2024
217,Banaskanth,,Jowar(Sorghum),5750,5750,5750,29-01-2024
218,Banaskanth,,Jowar(Sorghum),2500,2750,2625,20-01-2024
219,Banaskanth,,Jowar(Sorghum),3000,3750,3375,09-07-2024
220,Banaskanth,,Jowar(Sorghum),3050,4625,3837.5,03-07-2024
221,Banaskanth,,Jowar(Sorghum),3255,3500,3377.5,16-08-2024
222,Banaskanth,,Jowar(Sorghum),3900,4250,4075,01-07-2024
223,Banaskanth,,Jowar(Sorghum),4000,4750,4375,06-07-2024
224,Banaskanth,,Jowar(Sorghum),4000,5380,4690,29-06-2024
225,Banaskanth,,Jowar(Sorghum),4075,4300,4187.5,05-07-2024
226,Banaskanth,,Jowar(Sorghum),4200,4350,4275,04-07-2024
227,Banaskanth,,Jowar(Sorghum),4250,4300,4275,17-06-2024
228,Banaskanth,,Jowar(Sorghum),4250,4300,4275,28-06-2024
229,Banaskanth,,Jowar(Sorghum),4250,4600,4425,11-06-2024
230,Banaskanth,,Jowar(Sorghum),4255,5300,4777.5,27-06-2024
231,Banaskanth,,Jowar(Sorghum),4750,4875,4812.5,11-07-2024
232,Banaskanth,,Jowar(Sorghum),6000,6075,6037.5,30-01-2024
