Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
246,Latur,,Jowar(Sorghum),2050,2261,2155,10-09-2024
247,Latur,,Jowar(Sorghum),2051,2125,2088,01-10-2024
248,Latur,,Jowar(Sorghum),2051,2201,2126,10-12-2024
249,Latur,,Jowar(Sorghum),2051,2225,2138,20-09-2024
250,Latur,,Jowar(Sorghum),2051,2350,2200,31-07-2024
251,Latur,,Jowar(Sorghum),2051,2500,2275,16-08-2024
252,Latur,,Jowar(Sorghum),2062,2150,2106,12-09-2024
253,Latur,,Jowar(Sorghum),2072,2340,2206,27-12-2024
254,Latur,,Jowar(Sorghum),2080,3001,2540,03-05-2024
255,Latur,,Jowar(Sorghum),2100,2180,2140,12-11-2024
256,Latur,,Jowar(Sorghum),2100,2350,2225,30-08-2024
257,Latur,,Jowar(Sorghum),2100,2450,2275,27-08-2024
258,Latur,,Jowar(Sorghum),2100,3200,2650,02-03-2024
259,Latur,,Jowar(Sorghum),2101,2176,2138,06-09-2024
260,Latur,,Jowar(Sorghum),2101,2201,2151,19-09-2024
261,Latur,,Jowar(Sorghum),2101,2271,2186,18-09-2024
262,Latur,,Jowar(Sorghum),2101,2351,2226,23-08-2024
263,Latur,,Jowar(Sorghum),2140,2350,2245,29-07-2024
264,Latur,,Jowar(Sorghum),2140,2350,2245,30-07-2024
265,Latur,,Jowar(Sorghum),2141,2500,2320,08-08-2024
266,Latur,,Jowar(Sorghum),2150,2270,2210,20-12-2024
267,Latur,,Jowar(Sorghum),2150,2300,2225,19-12-2024
268,Latur,,Jowar(Sorghum),2150,2350,2250,28-12-2024
269,Latur,,Jowar(Sorghum),2150,2400,2275,28-08-2024
270,Latur,,Jowar(Sorghum),2150,2590,2370,19-07-2024
271,Latur,,Jowar(Sorghum),2150,2600,2375,01-08-2024
272,Latur,,Jowar(Sorghum),2151,2251,2201,13-09-2024
273,Latur,,Jowar(Sorghum),2151,2370,2260,12-12-2024
274,Latur,,Jowar(Sorghum),2151,2400,2275,22-08-2024
275,Latur,,Jowar(Sorghum),2151,2495,2323,10-08-2024
276,Latur,,Jowar(Sorghum),2160,2263,2211,11-12-2024
277,Latur,,Jowar(Sorghum),2160,2380,2270,05-08-2024
